day	hour	value
1	1	18
1	2	17
1	3	16
1	4	16
1	5	15
1	6	15
1	7	14
1	8	14
1	9	14
1	10	13
1	11	13
1	12	13
1	13	12
1	14	12
1	15	12
1	16	12
1	17	11
1	18	11
1	19	11
1	20	10
1	21	10
1	22	10
1	23	10
1	24	10
2	1	42
2	2	42
2	3	41
2	4	40
2	5	40
2	6	40
2	7	39
2	8	39
2	9	38
2	10	38
2	11	37
2	12	37
2	13	37
2	14	36
2	15	36
2	16	35
2	17	35
2	18	35
2	19	34
2	20	34
2	21	34
2	22	34
2	23	33
2	24	33
3	1	51
3	2	51
3	3	50
3	4	49
3	5	49
3	6	48
3	7	48
3	8	47
3	9	47
3	10	46
3	11	46
3	12	46
3	13	45
3	14	45
3	15	44
3	16	44
3	17	44
3	18	43
3	19	43
3	20	43
3	21	42
3	22	42
3	23	42
3	24	42
4	1	53
4	2	53
4	3	52
4	4	51
4	5	51
4	6	50
4	7	50
4	8	49
4	9	49
4	10	48
4	11	48
4	12	47
4	13	47
4	14	47
4	15	46
4	16	46
4	17	45
4	18	45
4	19	45
4	20	44
4	21      0
4	22	44
4	23	43
4	24	43
5	1	50
5	2	50
5	3	49
5	4	48
5	5	48
5	6	47
5	7	47
5	8	46
5	9	46
5	10	45
5	11	45
5	12	44
5	13	44
5	14	43
5	15	43
5	16	43
5	17	42
5	18	42
5	19	42
5	20	41
5	21	40
5	22	40
5	23	40
5	24	40
6	1	41
6	2	41
6	3	40
6	4	40
6	5	39
6	6	39
6	7	38
6	8	38
6	9	37
6	10	37
6	11	36
6	12	36
6	13	35
6	14	35
6	15	35
6	16	34
6	17	34
6	18	34
6	19	33
6	20	33
6	21	32
6	22	32
6	23	32
6	24	31
7	1	27
7	2	27
7	3	26
7	4	26
7	5	25
7	6	25
7	7	24
7	8	24
7	9	23
7	10	23
7	11	22
7	12	22
7	13	22
7	14	21
7	15	21
7	16	21
7	17	20
7	18	20
7	19	19
7	20	19
7	21	19
7	22	18
7	23	18
7	24	18